Nt,year,restricted_k,full_k,S1_low,S1_med,S1_high
1,1960,8784,33609,15594,33609,48729
2,1961,8784,33609,10808,20184,29263
3,1962,8784,33609,8786,16380,23748
4,1963,8784,33609,7326,13176,19103
5,1964,8784,33609,6037,10301,14934
6,1965,8784,33609,4922,7976,11563
7,1966,8784,33609,3992,6154,8922
8,1967,8784,33609,3223,4708,6825
9,1968,8784,33609,2589,3569,5174
10,1969,8784,33609,2067,2683,3889
11,1970,8784,33609,1639,2001,2901
12,1971,8784,33609,1291,1483,2149
13,1972,8784,33609,1011,1092,1583
14,1973,8784,33609,786,799,1159
15,1974,8784,33609,702,701,1006
16,1975,8784,33609,624,615,869
17,1976,8784,33609,549,532,740
18,1977,8784,33609,483,456,624
19,1978,8784,33609,430,393,528
20,1979,8784,33609,397,353,461
21,1980,8784,33609,380,337,422
22,1981,8784,33609,371,332,397
23,1982,8784,33609,360,327,372
24,1983,8784,33609,345,316,343
25,1984,8784,33609,324,299,310
26,1985,8784,33609,300,277,275
27,1986,8784,33609,293,270,262
28,1987,8784,33609,301,276,265
29,1988,8784,33609,316,289,276
30,1989,8784,33609,339,310,297
31,1990,8784,33609,373,341,329
32,1991,8784,33609,418,384,373
33,1992,8784,33609,473,436,428
34,1993,8784,33609,532,494,488
35,1994,8784,33609,593,552,547
36,1995,8784,33609,651,609,604
37,1996,8784,33609,707,664,657
38,1997,8784,33609,763,718,708
39,1998,8784,33609,821,774,762
40,1999,8784,33609,883,835,820
41,2000,8784,33609,953,903,887
42,2001,8784,33609,1033,982,965
43,2002,8784,33609,1123,1072,1057
44,2003,8784,33609,1225,1175,1161
45,2004,8784,33609,1335,1289,1278
46,2005,8784,33609,1455,1414,1405
47,2006,8784,33609,1581,1547,1541
48,2007,8784,33609,1714,1689,1685
49,2008,8784,33609,1854,1840,1838
50,2009,8784,33609,2000,2000,2000
51,2010,8784,33609,2155,2171,2175
52,2011,8784,33609,2319,2355,2364
53,2012,8784,33609,2493,2554,2569
54,2013,8784,33609,2678,2770,2794
55,2014,8784,33609,2875,3004,3040
56,2015,8784,33609,3084,3258,3308
57,2016,8784,33609,3303,3531,3598
58,2017,8784,33609,3532,3823,3912
59,2018,8784,33609,3771,4134,4248
60,2019,8784,33609,4019,4465,4607
61,2020,8784,33609,4275,4816,4991
62,2021,8784,33609,4539,5187,5400
63,2022,8784,33609,4810,5578,5836
64,2023,8784,33609,5087,5991,6301
65,2024,8784,33609,5372,6426,6795
66,2025,8784,33609,5661,6883,7321
67,2026,8784,33609,5956,7363,7879
68,2027,8784,33609,6254,7864,8469
69,2028,8784,33609,6555,8386,9092
70,2029,8784,33609,6858,8927,9747
71,2030,8784,33609,7161,9488,10433
72,2031,8784,33609,7464,10065,11149
73,2032,8784,33609,7766,10658,11895
74,2033,8784,33609,8065,11265,12669
75,2034,8784,33609,8361,11884,13470
76,2035,8784,33609,8653,12514,14297
77,2036,8784,33609,8941,13153,15149
78,2037,8784,33609,9223,13799,16022
79,2038,8784,33609,9500,14449,16915
80,2039,8784,33609,9771,15103,17824
81,2040,8784,33609,10034,15756,18747
82,2041,8784,33609,10291,16408,19681
83,2042,8784,33609,10539,17056,20622
84,2043,8784,33609,10780,17698,21568
85,2044,8784,33609,11013,18333,22515
86,2045,8784,33609,11238,18958,23461
87,2046,8784,33609,11455,19573,24402
88,2047,8784,33609,11663,20176,25336
89,2048,8784,33609,11863,20765,26260
90,2049,8784,33609,12056,21341,27172
91,2050,8784,33609,12240,21901,28069
92,2051,8784,33609,12417,22446,28950
93,2052,8784,33609,12585,22973,29812
94,2053,8784,33609,12747,23484,30654
95,2054,8784,33609,12900,23978,31474
96,2055,8784,33609,13047,24454,32271
97,2056,8784,33609,13187,24912,33045
98,2057,8784,33609,13320,25353,33794
99,2058,8784,33609,13447,25776,34518
100,2059,8784,33609,13567,26182,35217
101,2060,8784,33609,13682,26571,35891
102,2061,8784,33609,13790,26943,36539
103,2062,8784,33609,13893,27298,37161
104,2063,8784,33609,13991,27638,37758
105,2064,8784,33609,14084,27962,38331
106,2065,8784,33609,14172,28271,38878
107,2066,8784,33609,14255,28565,39402
108,2067,8784,33609,14333,28845,39903
109,2068,8784,33609,14408,29111,40380
110,2069,8784,33609,14478,29364,40836
111,2070,8784,33609,14544,29605,41270
112,2071,8784,33609,14607,29833,41683
113,2072,8784,33609,14667,30049,42075
114,2073,8784,33609,14722,30254,42449
115,2074,8784,33609,14775,30449,42804
116,2075,8784,33609,14825,30633,43141
117,2076,8784,33609,14872,30807,43460
118,2077,8784,33609,14916,30972,43763
119,2078,8784,33609,14958,31128,44051
120,2079,8784,33609,14997,31276,44323
121,2080,8784,33609,15034,31415,44581
122,2081,8784,33609,15068,31546,44824
123,2082,8784,33609,15101,31671,45055
124,2083,8784,33609,15132,31788,45273
125,2084,8784,33609,15160,31898,45479
